INPUT,English
LBL_COUNTRY_CODE,Country Code
LBL_COUNTRY_ALPH_CODE,Alpha Code
LBL_PREVIOUS,Previous
LBL_NEXT,Next
LBL_No_ITEM,No data found
LBL_EDIT,Edit
MSG_SHOWING,Showing
MSG_TO,to
MSG_OF,of
MSG_RECORDS,records
MSG_COUNTRY_REQ,Country is required
TITLE,Country Details
LBL_COUNTRY,Country Name
LBL_AREA,Area
LBL_COUNTRY_CODE,Country Code
LBL_COUNTRY_ALPH_CODE,Alpha Code
LBL_DETAILS,Main Details
PH_COUNTRY_NAME,Please enter country name
MSG_COUNTRY_NAME_REQ,Country name is required
LBL_SELECT,Select
PH_AREA,Please select area
MSG_AREA_REQ,Area is required
PH_COUNTRY_CODE,Please enter country code
PH_COUNTRY_ALPH_CODE,Please enter country Alpha code
LBL_SAVE,Save
LBL_RESET,Reset
LBL_ADD,Add
LBL_EDIT,Edit
LBL_RETURN,Return
LBL_SUCCESS,success
LBL_ERROR,Error
MSG_SAVE_SUCCESS,Country details saved successfully 
MSG_CANNOT_SAVE_COUNTRY,Error : Country cannot be saved
MSG_CURRENT_COUNTRY_NOTFOUND,Error : The current country is not found
MSG_CANNOTMAPREQUEST,Error: Cannot map request
MSG_UNKNONW_ERROR,Unknow error has occured
TITLE,Province Summary
LBL_SEARCH,Search
LBL_COUNTRY,Country Name
LBL_REGION,Province Name
LBL_SELECT,Select
LBL_ADD,New
LBL_PREVIOUS,Previous
LBL_NEXT,Next
LBL_REGION_CODE,Province Code
LBL_No_ITEM,No data found
LBL_EDIT,Edit
MSG_SHOWING,Showing
MSG_TO,to
MSG_OF,of
MSG_RECORDS,records
MSG_COUNTRY_REQ,Country is required
TITLE,Province Details
LBL_SEARCH,Search
LBL_COUNTRY,Country Name
LBL_REGION,Province Name
LBL_SELECT,Select
MSG_COUNTRY_NAME_REQ,Country is required
PH_REGION_NAME,Please enter Province name
MSG_REGION_NAME_REQ,Province name is required
LBL_REGION_CODE,Province Code
PH_REGION_CODE,Please enter Province code
LBL_SAVE,Save
LBL_RESET,Reset
LBL_DETAILS,Main Details
LBL_ADD,Add
LBL_EDIT,Edit
LBL_RETURN,Return
LBL_SUCCESS,success
LBL_ERROR,Error
MSG_SAVE_SUCCESS,Province details saved successfully
MSG_CANNOT_SAVE_PROVINCE,Error : Province cannot be saved
MSG_CURRENT_PROVINCE_NOTFOUND,Error : The current Province is not found
MSG_CANNOTMAPREQUEST,Error: Cannot map request
MSG_UNKNONW_ERROR,Unknow error has occured
MSG_PROVINCE_EXISTS,Error : The Province Exists in System
TITLE,City Summary
LBL_SEARCH,Search
LBL_COUNTRY,Country
LBL_SELECT,Select
LBL_ADD,New
LBL_REGION,Province
LBL_CITY,City
LBL_PREVIOUS,Previous
LBL_NEXT,Next
LBL_No_ITEM,No data found
LBL_EDIT,Edit
MSG_SHOWING,Showing
MSG_TO,to
MSG_OF,of
MSG_RECORDS,records
LBL_INSP_PORT,Inspection port
LBL_ZONE,Zone
LBL_DISTANCE,Distance
LBL_TRAVEL_TIME,Travel time (Hour)
LBL_OFFICE,Office
LBL_PHCODE,Phone Code
MSG_COUNTRY_REQ,Country is required
TITLE,City Details
LBL_SEARCH,Search
LBL_COUNTRY,Country Name
LBL_REGION,Province Name
LBL_SELECT,Select
MSG_COUNTRY_NAME_REQ,Country is required
MSG_REGION_NAME_REQ,Province is required
MSG_OFF_REQ,Office is required
MSG_CITY_NAME_REQ,City name is required
MSG_INSP_PORT_NAME_REQ,Inspection Port is required
MSG_ZONE_REQ,Zone is required
MSG_DISTANCE_REQ,Zone distance is required
PH_CITY_NAME,Please enter city name
LBL_CITY,City Name
LBL_INSP_PORT,Inspection port
LBL_ZONE,Zone
LBL_DISTANCE,Distance
LBL_TRAVEL_TIME,Travel time (Hour)
PH_TRAVEL_TIME,Please enter travel time
LBL_OFFICE,Office
LBL_SAVE,Save
LBL_RESET,Reset
LBL_DETAILS,Main Details
LBL_PHCODE,Phone Code
PH_PH_CODE,Please enter phone code
LBL_NEW,New
LBL_ADD,Add
LBL_EDIT,Edit
LBL_RETURN,Return
LBL_SUCCESS,success
LBL_ERROR,Error
MSG_SAVE_SUCCESS,City details saved successfully
MSG_CANNOT_SAVE_CITY,Error : City cannot be saved
MSG_CURRENT_CITY_NOTFOUND,Error : The current City is not found
MSG_CANNOTMAPREQUEST,Error: Cannot map request
MSG_UNKNONW_ERROR,Unknow error has occured
MSG_CITY_EXISTS,Error : The City Exists in System
LBL_OK,OK
LBL_AUDIT_COMPANY,Audit Company
LBL_INSPECTION_RESPONSIBLE,Inspection Responsible
LBL_MAIN_DETAILS,Main details
MSG_SHOWING,Showing
MSG_TO,to
MSG_OF,of
MSG_RECORDS,records
MSG_FROM_DATE_INVALID,From Date is Invalid
MSG_TO_DATE_INVALID,To Date is Invalid
LBL_CONFIRMCANCEL,Cancel
LBL_APPLY,Apply
LBL_MODIFY,Modify
LBL_SAVE,Save
LBL_EDIT,Edit
LBL_SEARCH,Search
LBL_SELECT,Select
LBL_ADD,Add
LBL_REMOVE,Remove
LBL_SUBMIT,Submit
LBL_DELETE,Delete
LBL_CONFIRMDELETION,Confirm deletion
MSG_UNKNONW_ERROR,Unknown error has occured
LBL_REFRESH,Refresh
LBL_RESET,Reset
LBL_RETURN,Return
LBL_UPDATE,Update
LBL_PREVIOUS,Previous
LBL_NEXT,Next
LBL_No_ITEM,No data found
MSG_ERRORVALIDATION,Validation error
LBL_NODATA,Oops! No load matching your search were found
LBL_NOITEMS,No items was found
LBL_FB_ERROR,FB Connectivity Error
LBL_NO_DATA,No Data
LBL_CANCEL,Cancel
LBL_CLEAR_SEARCH,Clear Search
LBL_ERROR,Error
LBL_SELECT_ALL,Select All
LBL_UN_SELECT_ALL,Un Select All
LBL_ALL,All
LBL_NEW,New
LBL_YES,Yes
LBL_NO,No
LBL_EXPORT,Export
MSG_QUESTION_SURE,Are you sure ?
MSG_DELETE_SUCCESS,Deleted Successfully
MSG_CANNOT_DELETE,"Error: Cannot Delete, please contact IT-Team"
LBL_COPY,Copy
LBL_SELECTED,selected
MSG_SAVED_SUCCESS,Saved Successfully
LBL_ADVANCED_SEARCH,Advance Search
LBL_CLOSE_ADVANCED_SEARCH,Close Advance Search
MSG_CLEAR_SEARCH,Clear Search
LBL_PREVIEW,Preview
LBL_TEMPLATE,Template
MSG_SERVICE_FROMDATE_REQ,From date is required
MSG_SERVICE_FROMDATE_VALID,From date is Invalid
MSG_SERVICE_FROMDATE_GREATER_REQ,From date should be less than to date
MSG_SERVICE_TODATE_REQ,To date is required
MSG_SERVICE_TODATE_LESS_REQ,To date not less than from date
LBL_LOADER,Please Wait...
LBL_DATA_SHOWING,Data Showing
LBL_FILTER_SELECTED,filter selected
LBL_NO_DATA_EMPTY,Data is empty or Try adjusting your filter to find what you’re looking for.
LBL_SHOW,Show
LBL_MORE,more
LBL_LOAD,Please Wait...
LBL_USER_GUIDE,User Guide
LBL_CONTACT,Contact
LBL_HELP,Help
LBL_TERMS,Terms
LBL_RIGHTS_RESERVED,© 2019 - 2024 All rights reserved. Fullbridge.io
LBL_RELOAD,Reload
MSG_CUSTOMER_REQUIRED,Organization is required
MSG_SERVICE_REQUIRED,Service is required
MSG_REQUEST_NOT_CORRECT_FORMAT,Request not correct format
LBL_UPLOAD,Upload
MSG_BOOKING_NUMBER_REQUIRED,Booking Number is required
MSG_FILE_TYPE_REQUIRED,File Type is required
LBL_CHOOSE,Choose
MSG_NO_NETWORK_TITLE,No Network Available
MSG_NO_NETWORK_SUB_TITLE,please check your internet connection.
DATE_PERIOD,Date Period
LBL_CUSTOMER,Organization
LBL_SUPPLIER,Supplier
LBL_FACTORY,Factory
LBL_INSPECTION_COMPANY,Inspection Company
LBL_INSPECTED_BY,Inspected By
LBL_INSPECTED_RESPONSIBLE,Inspected Responsible
LBL_FROMDATE,From Date
LBL_TODATE,To Date
APPLY,Apply
CANCEL,Cancel
LBL_FACTORY_COUNTRY,Factory Country
LBL_OFFICE,Office
LBL_SERVICETYPE,Service Type
LBL_BRAND,Brand
LBL_DEPARTMENT,Department
LBL_BUYER,Buyer
LBL_COLLECTION,Collection
LBL_SERVICEDATE_FROM_TO,Service Date
LBL_UNAUTHORISED_ACCESS,This may due to long inactive period after login or Un authorised access.
LBL_REMARKS,Remarks
LBL_RESULT,Result
LBL_REC_PER_PAGE,Records per page
LBL_FILTER,Filters
LBL_FORBIDDEN,Forbidden
LBL_COMPARE,Compare
LBL_ADVANCE_SEARCH,Advance search
LBL_CLOSEADVANCE_SEARCH,Close Advance search
LBL_COMPARE_MSG,Data comparison with
LBL_FILE_UPLOAD,File Upload
LBL_UPLOAD_MSG_SUC,File Uploaded Successfully
LBL_CLOSE,Close
LBL_APPROVE,Approve
LBL_REJECT,Reject
LBL_ANALYZE,Analyze
LBL_FILE_DESCRIPTION,Description
LBL_COMPLAINT_RESULT,Complaint Result
MSG_NORESULT_FOUND,No result found!
MSG_FULLMSG_NOTFOUND,No results found based on your search.
LBL_PRODUCT_REF,Product Reference
TITLE,Vendor Summary
SUP_TITLE,Supplier Summary
FACT_TITLE,Factory Summary
LBL_TYPE,Type
LBL_SELECT,Select
LBL_SELECT_REGION,Select region
LBL_SELECT_COUTRY,Select country
LBL_SELECT_CITY,Select city
LBL_COUNTRY,Country
LBL_SEARCH,Search
LBL_NAME,Name
LBL_REGION,Region
LBL_CITY,City
LBL_FACTORYLIST,Factory list
LBL_NOITEMS,No items was found
LBL_CONFIRMDELETION,Are you sure ?
